Query >45	 [vp] g u g 音/d [pp] 
5	 g g r 音/d [np] 
5	 音/d [vp] c [np] p r s [vp] [pp] u [np] 
5	 s p s m [np] [advp] 音/d [vp] 
5	 音/d a u g [np] 
5	 p 音/d u p [vp] 
5	 r 音/d p r [advp] [vp] y 
5	 b a 音/d f [vp] 
13	 音/d 音/d 音/d 音/d 音/d 
10	 r 音/d [vp] [advp] [vp] a y y 
5	 r u [np] 音/d p r f 
5	 r 音/d c [np] [vp] 
5	 [pp] [np] 音/d u r 
5	 音/d [vp] b m u [np] [vp] s [np] [vp] [pp] u [np] 
5	 r 音/d [vp] [advp] p f [vp] y 
Query >
