Query >939	 [np] 不禁/d [vp] 
216	 r 不/d [vp] t [np] 
72	 c p 不/d [vp] 
152	 c [vp] 不同/a u [np] 
159	 不幸/n [vp] 
585	 r [advp] 不要/d [vp] y 
28	 g 不/d g [np] 
50	 [np] [advp] [vp] 不/d [np] 
28	 不拘小节/v 
28	 [pp] 不够/a 
63	 c 不再/d [vp] 
275	 c [pp] [np] 不/d a 
28	 s t 不/d [vp] 
28	 [pp] 不通/a 
788	 r [advp] 不许/d [vp] 
64	 [np] 不过/c [qp] 
28	 [vp] k 不/d g 
51	 c 不/d [vp] m [vp] 
178	 r s 不/d a 
28	 不偏不倚/v 
131	 [advp] 不可/v [advp] [vp] 
2605	 r 不/d [vp] 不/d [vp] y 
33	 c [advp] 不/d [vp] 不/d [vp] 
28	 不尚空谈/v 
40	 [np] [qp] 不/d a 
132	 r [qp] [advp] [vp] 不/d [vp] 
1172	 [vp] 不然/c u 
146	 r a u 不得了/l 
73	 [pp] 不/d [np] f 
62	 [np] [advp] 不尽/d a 
120	 c [vp] 不断/d [vp] 
77	 [np] 不论/c [advp] a 
51	 r c 不/d [advp] [vp] 
27	 不巧/a u [vp] 
68	 [np] [advp] 不便/a 
50	 不过/c r [advp] 不/d [vp] 
228	 r [advp] 不在乎/v y 
527	 r t 不/d [vp] y 
58	 [vp] f [vp] 不/d [vp] 
27	 g 不成/v g 
27	 r 不管/c r 
37	 r 不屑/v u [vp] 
346	 c [np] 不/d [advp] a 
36	 c [pp] [np] 不/d [vp] 
34	 不仅/c [np] [advp] a 
58	 [vp] g [advp] 不/d [vp] 
26	 a c 不/d g 
32	 z 不可终日/l 
38	 p t 不变价格/l [vp] 
26	 z 不/d a 
47	 [np] 不/d p y 
172	 [np] a c 不/d a 
70	 r 不顾/v [vp] 
56	 c 不/d [vp] m [np] 
26	 r g 不/d [advp] 
5581	 r 不仅/c [vp] y 
84	 r 不/d [vp] [advp] [np] y 
39	 r c [advp] 不/d [vp] 
31	 [np] 不是/c [np] 
44	 [np] [vp] c 不/d a 
42	 [np] 不但/c [advp] [vp] 
34	 不管/c [advp] a 
40	 [np] k [vp] 不/d [vp] 
56	 g [vp] 不/d m 
26	 不管/c l 
35	 [np] [vp] 不/d u r 
55	 r s [advp] 不安/a 
26	 不管/c y 
76	 [np] 不能/v [vp] 
312	 [pp] [np] u 不同/a [np] 
88	 [pp] u 不同/a [np] 
48	 [np] [qp] [advp] 不/d a 
80	 r a 不已/v 
44	 c 不/d [vp] [advp] [np] 
30	 不但/c [np] [advp] [vp] 
47	 不/d [advp] g y 
87	 c 不/d [vp] f u [np] 
25	 不倒翁/n 
110	 r 不/d [vp] y y 
51	 [np] 不解/v u [vp] 
25	 b r 不/d [vp] 
30	 g [vp] 不/d g 
66	 m t [vp] 不/d [vp] 
163	 [np] [advp] a 不/d a y 
709	 [np] r 不/d [vp] y 
32	 g [vp] [advp] a [advp] 不/d g 
63	 [vp] 不如/c [vp] 
41	 c 不如说/c 
97	 r 不/d c [vp] 
25	 不要紧/v y 
110	 r [advp] [vp] 不久/m 
44	 [np] [advp] [vp] 不/d u [np] 
57	 不论是/c [vp] 
49	 s u [np] 不断/d [vp] 
328	 r 不知/v [np] 
742	 不过/c r [advp] [vp] y 
24	 不/d g 不/d g 
42	 不锈钢/n [np] 
445	 [np] r [advp] 不/d [vp] y 
417	 s u [np] [vp] 不能/v [vp] a 
568	 [np] 不/d a 不/d a 
159	 [np] g [np] 不/d [vp] 
139	 r 不慌不忙/v u [vp] 
61	 [vp] p 不顾/v 
1074	 r [advp] 不/d a [vp] y 
529	 c r [advp] 不/d [vp] 不/d [vp] 
688	 c [advp] [vp] 不/d [vp] y 
24	 r a 不好/a 
452	 不过/c [advp] [vp] y 
845	 [np] 不/d [vp] [advp] [vp] y 
149	 不管/c [np] r a 
151	 [vp] 不朽/z u [np] 
23	 p s 不/d a 
49	 [np] a u 不/d [vp] 
84	 p [vp] 不同/a [np] 
31	 p [vp] 不时/d u g 
23	 [np] 不可/v f g 
45	 r 不行/a y 
2493	 t [np] 不错/a 
92	 不少/m [np] p [vp] 
107	 r 不必/d a 
114	 c [advp] 不/d [vp] a u 
112	 r 不/d [vp] a [vp] 
23	 [advp] 不巧/a 
1104	 c r [advp] 不能/v [vp] 
232	 [np] [vp] [advp] 不错/a 
523	 r 不/d [vp] [advp] a y y 
240	 r [advp] [np] 不/d [vp] 
45	 [vp] 不要/d a 
23	 不说/c [np] 
53	 c [np] 不/d [advp] [vp] 
22	 p 不懈努力/v 
509	 s [np] 不/d [vp] s [np] 
295	 r [advp] 不/d [vp] s [np] 
36	 [vp] g [vp] 不/d [vp] 
45	 c g 不/d [vp] 
22	 [np] k 不/d a 
32	 [np] 不犯/d [np] 
22	 s 不/d [vp] g 
380	 r 不/d [vp] [qp] [vp] 
130	 r 不仅/c 不/d [vp] 
157	 r 不但/c [np] a 
90	 r 不/d [vp] m g 
113	 r [advp] 不/d [vp] c [vp] 
39	 r 不可偏废/v 
74	 [vp] [advp] [vp] 不/d y 
172	 r [advp] [vp] c 不/d [vp] 
140	 m t [np] 不/d a 
56	 [np] 不/d t f 
27	 不/d [pp] 不/d [vp] 
57	 r 不无/v [vp] 
22	 [advp] t 不/d [vp] 
61	 [np] [vp] 不/d a y 
134	 r 不知所措/v 
49	 [np] 不/d [np] u 
68	 不见得/d y 
32	 [advp] 不/d a p t 
1480	 r [advp] [vp] 不同/a u [np] 
48	 c [np] 不/d [vp] [advp] [vp] 
43	 [np] 不计其数/v 
87	 [advp] [vp] 不解/v u [vp] 
237	 p 不/d [np] [vp] 
350	 c r [qp] [advp] 不/d a 
1063	 [np] c 不/d [vp] [advp] [vp] 
68	 不失时机/l u [vp] 
402	 c r 不能/v [vp] 
29	 不料/d r [advp] [vp] 
21	 c [qp] [advp] 不/d a 
34	 不管/c [vp] m [np] 
233	 c r 不/d p r 
105	 c r 不在乎/v 
60	 c 不得不/d [vp] 
21	 r t [np] 不/d a 
21	 [np] g 不/d g 
21	 [advp] 不难/d [vp] 
43	 不少/m [np] a 
123	 r 不仅/c [vp] s u [np] 
34	 不仅/c [np] [advp] [vp] 
26	 不/d a 不/d [vp] 
67	 [advp] 不/d [vp] p a 
21	 r c 不/d [vp] a 
21	 r t [advp] 不/d a 
121	 c [advp] 不尽然/v 
21	 不问/v l 
30	 [np] g 不足/v 
29	 [vp] 不久/m u t 
26	 p 不/d u m t 
35	 不管/c [np] [advp] [vp] 
31	 [advp] [np] [vp] 不/d [vp] 
139	 m [vp] c 不可/v [vp] 
112	 [vp] [advp] a [advp] 不/d [vp] 
37	 不孝/a [vp] m 
77	 [np] f 不/d [np] 
769	 c r 不得不/d [vp] 
617	 r 不顾/v [np] [vp] 
88	 r [advp] [np] 不/d a 
97	 c [np] m 不/d [vp] 
428	 r 不禁/d [vp] y 
21	 f 不愧/d [np] 
79	 u [np] [advp] 不/d [vp] [qp] 
21	 c 不/d y 
171	 r [advp] [vp] [qp] 不/d [vp] 
2665	 c r [advp] 不/d a y 
21	 [np] 不安/a u [vp] 
21	 r 不利/a a [advp] [vp] 
882	 r 不必/d [vp] y 
4852	 r m [vp] [advp] 不/d [vp] 
40	 [pp] 不/d [vp] f 
81	 [np] 不/d g u [np] 
3824	 c 不久/m f 
33	 a s [vp] 不久/m 
66	 c [advp] 不能不/d [vp] 
173	 r 不惜/v [vp] 
134	 r u p 不同/a [np] [vp] c [np] 
63	 c s [np] 不/d [vp] 
20	 不懈/z [vp] 
667	 [np] [vp] a 不好/a 
