Query >939	 [np] 不禁/d [vp] 
21	 r 不幸/a u [np] 
2160	 r [advp] [vp] 不/d u [np] [vp] 
15	 不要/d 不要/d 
14	 c [advp] 不/d [vp] l 
36	 [advp] 不论/c [np] 
14	 [np] a 不堪/v 
99	 [vp] a 不/d [vp] a g 
196	 c [np] [advp] 不/d [advp] a 
571	 c [np] [advp] 不错/a 
14	 不/d [vp] m g [np] 
19	 t u [np] c 不/d a 
42	 r [advp] [vp] 不争/v u [np] 
14	 s l [advp] [vp] s [np] 不可分割/v u m m 
122	 t [np] 不详/v 
37	 p s [np] 不断/d [vp] 
2015	 c r 不/d [vp] [pp] [vp] 
170	 c [np] [advp] p 不断/d [vp] 
14	 t [advp] 不得而知/v 
32	 [np] 不堪重负/v 
14	 c 不同/a u [np] 
14	 l [advp] 不/d a 
25	 不料/d [advp] [vp] 
19	 [np] 不容乐观/v 
14	 t [advp] 不/d [vp] [advp] [vp] 
28	 p [vp] 不行/a 
25	 c [vp] 不/d u r 
14	 s 不仅/c [np] a 
76	 [np] 不知/v [np] 不觉/d 
511	 不少/m [np] [advp] [vp] y 
14	 [advp] 不/d [advp] g 
14	 s 不/d g 
22	 [np] [advp] 不以为然/v 
39	 r 不/d [vp] [qp] r 
252	 r [pp] [advp] 不/d [vp] 
869	 c r 不/d [vp] s [np] 
20	 [pp] 不断/d [vp] f 
134	 [np] c 不/d [vp] [advp] a 
14	 c 不乏/v [np] 
14	 c 不用/d [vp] 
14	 [np] p 不断/d u [vp] 
21	 c 不/d u [vp] 
55	 [advp] [vp] 不利/a u [np] 
19	 [np] 不/d [vp] z 
19	 a g [advp] 不/d [vp] 
14	 不/d g g g 
21	 [np] f u 不/d a 
24	 [np] [vp] 不/d [advp] a 
14	 [vp] 不/d [vp] [advp] u [vp] 
14	 不要脸/a u [np] 
14	 [advp] 不妥/a 
26	 c a 不/d [vp] 
19	 不/d c [advp] [vp] 
14	 不顾/v r 
14	 c [np] 不行/a 
14	 [pp] u 不/d a 
14	 [np] [advp] 不/d g [np] 
14	 [np] 不/d [vp] 不/d g 
52	 c [vp] 不到/v [np] 
21	 不论/c p s 
51	 [np] 不仅仅/d [vp] 
48	 [pp] [np] u 不/d [advp] [vp] 
37	 [advp] [vp] a 不已/v 
14	 [advp] r [advp] [vp] 不/d a 
14	 c [vp] 不严/a 
49	 r [advp] 不/d [pp] [np] 
14	 [np] 不/d c 
14	 p u 不/d [vp] 
40	 不过/c [vp] [qp] [vp] 
30	 [np] 不无/v [np] 
29	 [np] [advp] 不/d [vp] [pp] [vp] 
88	 r f 不/d u [np] 
21	 不要/d [vp] [pp] 
110	 s [advp] [vp] 不/d [vp] y 
14	 m [vp] c 不可收拾/l 
19	 c t r [advp] 不/d [vp] 
33	 不/d a m t u 
21	 m t 不/d [vp] m t 
48	 [np] [advp] [vp] 不足/v 
14	 c 不/d [np] [vp] 
29	 g 不/d [vp] [advp] [vp] 
77	 [np] c 不/d a y 
14	 [pp] 不灵/a 
14	 r g [np] 不/d a 
39	 [np] 不/d [vp] [advp] a y 
14	 不管/c [np] f [vp] 
25	 r [advp] 不/d [vp] 不/d [vp] y 
46	 不足/v [vp] g 
127	 r 不/d [vp] l u [np] 
29	 [np] 不耐烦/a u [vp] 
21	 [np] 不/d [vp] p a 
943	 r [advp] [vp] 不/d [advp] [vp] 
29	 r [advp] a u 不得了/l 
20	 [np] 不屑/v u [vp] 
20	 r 不曾/d [vp] 
71	 r 不知/v [vp] [advp] a 
105	 r [advp] p 不/d [vp] 
615	 c 不一会儿/l 
14	 r 不/d [vp] p [vp] p r 
42	 [advp] 不知/v r u 
14	 不知/v [np] u 
847	 r [advp] [vp] 不/d u r y 
26	 [np] a u [advp] [vp] 不/d [vp] 
129	 r [advp] [vp] 不妙/a 
23	 c [vp] [qp] 不/d [vp] 
26	 z [np] 不/d [vp] 
85	 r [advp] 不断/d u [vp] 
4779	 r p 不/d [advp] [vp] 
85	 c 不/d [vp] a a 
38	 c 不得/v [vp] 
25	 不论/c t [np] 
13	 c 不/d [vp] 不/d g 
13	 c p 不同/a u [np] 
31	 不断/d [np] 
13	 不知/v p 不知/v 
45	 t 不少/m [np] [vp] 
32	 [np] a u 不/d a 
32	 c [vp] 不/d [advp] a 
30	 c [vp] 不/d [vp] [advp] [vp] 
13	 不/d p m [np] 
139	 m [np] [pp] u [np] 不断/d [vp] 
25	 [advp] 不赖/a 
1478	 c [advp] [vp] 不少/m [np] [vp] 
51	 t 不/d [vp] [advp] [vp] y 
39	 r [pp] 不/d g [np] 
13	 [vp] g 不见/v [np] 
18	 c c [np] 不/d [vp] 
13	 c p 不同/a [np] 
25	 c r t 不/d [vp] 
13	 p [vp] 不善/a 
27	 [vp] [advp] 不断/d [vp] 
13	 c [advp] [np] 不/d a 
13	 不仅/c s [np] 
33	 c m 不得已/a 
13	 不/d [vp] t t 
30	 [np] 不欢而散/l 
53	 [advp] 不/d [vp] [pp] [advp] [vp] 
13	 [np] c 不良/a [np] 
13	 c m t 不/d [vp] 
260	 r t [advp] [vp] 不/d [vp] y 
13	 [advp] p 不久前/t 
13	 不/d [np] p m 
13	 [np] f [vp] [advp] 不/d a 
228	 c [vp] g 不/d a 
114	 不论/c [pp] [np] 
166	 [advp] [vp] [qp] 不同/a [np] 
19	 s 不再/d [vp] 
34	 p 不/d u [np] 
13	 不/d [vp] c g 
51	 [np] [advp] 不行/a y 
13	 c t [np] 不/d a 
13	 [vp] 不力/a u [np] 
33	 c 不仅/c [vp] 
13	 [np] [advp] 不/d p s 
72	 c 不/d [vp] f [np] 
41	 [np] 不错/a y 
23	 [np] 不/d [vp] g [np] 
13	 [np] u 不幸/n 
34	 [advp] 不能/v a 
53	 [advp] [vp] 不/d [vp] [advp] [np] 
13	 r a c 不/d a 
13	 c 不能/v [advp] a 
25	 [advp] [vp] [pp] 不/d a 
249	 r [advp] 不/d [vp] f u [np] 
670	 [np] c 不/d [vp] a u 
86	 不过/c m t [np] 
13	 r [advp] 不/d g a 
13	 r u [advp] 不/d [vp] 
1944	 c r p 不/d [vp] 
79	 [advp] [vp] 不/d [vp] b u [np] 
13	 r 不/d g a 
13	 [np] 不/d p m 
13	 不论/c p r 
903	 [np] 不/d [vp] [qp] a 
13	 不少/m [np] l 
64	 m 不要/d [vp] l 
13	 [np] 不能不/d [vp] 
30	 [vp] 不得不/d [vp] 
73	 r 不等/v 不/d [vp] 
13	 [advp] [np] 不断/d 
50	 [advp] [vp] b [vp] 不可/v u [np] y 
13	 s [vp] [qp] 不/d a 
34	 [vp] [advp] 不怕/v 
22	 c r [advp] 不/d [vp] p [vp] 
35	 r 不约而同/l u [vp] 
34	 r 不屑一顾/v 
13	 z [vp] 不久/m 
33	 r [qp] [advp] 不/d [vp] y 
20	 不论/c r a 
71	 r [advp] 不要/d [advp] [vp] y 
214	 [vp] m [vp] 不/d a 
42	 r [advp] 不/d p [vp] g 
13	 s a 不/d a 
13	 不久前/t u [qp] t 
31	 [vp] 不/d [np] g 
13	 c [vp] 不解/v u [vp] 
21	 [np] [advp] 不妙/a 
13	 [np] 不说/v 
19	 [np] [advp] 不安/a 
13	 c 不得不/d [advp] [vp] 
13	 c 不/d [vp] a [vp] 
13	 t 不/d [vp] 不/d [vp] 
24	 r c [vp] 不/d a 
52	 s 不免/d a 
13	 不/d r 不/d a 
601	 r [advp] 不/d [vp] m [vp] y 
24	 r p r [advp] 不/d [advp] [vp] 
13	 c t [advp] [vp] 不/d [vp] 
24	 r 不肯/v [vp] 
13	 不仅/c [np] r 
240	 r [advp] 不必/d [advp] [vp] y 
18	 [np] m [np] 不/d [vp] 
20	 t [vp] f 不久/m 
129	 c [advp] [vp] 不/d a u 
13	 不管/c r [advp] a 
73	 r [advp] 不/d [vp] [qp] [vp] 
34	 r [advp] [qp] [advp] 不/d a 
1390	 c r 不/d [vp] a u 
197	 不论是/c [np] [advp] [vp] 
13	 不同/a u [advp] 
24	 c r 不/d [vp] p r 
13	 不过/c r [advp] [vp] [advp] [vp] 
13	 不由得/d l 
664	 r [advp] 不/d [vp] g g 
51	 r [advp] [vp] [advp] 不/d [vp] y 
353	 r a u 不/d [vp] y 
80	 r 不/d [vp] c [np] [vp] 
188	 r 不过/d [vp] y 
34	 r [advp] 不/d [advp] a y 
19	 不许/d r [advp] [vp] 
18	 r 不才/n [vp] 
13	 不许/d [vp] y 
22	 r [advp] 不耐烦/a u [vp] 
34	 r 不/d [vp] x 
50	 r 不/d [vp] g y 
34	 r p [vp] 不少/m [np] 
12	 r 不/d [pp] y 
25	 c 不/d [vp] g [np] 
12	 [qp] 不见/v 
12	 r 不/d [vp] p a 
174	 c r [advp] 不以为然/v 
46	 [pp] [np] 不善/a 
27	 [np] 不翼而飞/v 
19	 [np] f u [np] c 不/d a 
308	 [np] g 不/d [vp] g 
293	 c 不/d [vp] t u [np] 
48	 [vp] 不择手段/l 
52	 r 不辞辛苦/v 
17	 [np] u 不同/a u [np] 
35	 [pp] [np] 不/d [vp] f 
12	 [qp] 不同/a a 
18	 c [qp] 不/d [vp] 
12	 r [advp] 不可思议/l 
10004	 [pp] [np] 不断/d [vp] f 
12	 [np] f [advp] 不/d [advp] [vp] 
36	 [np] 不断/d a 
115	 t [vp] 不/d a u m t 
21	 m 不/d g t 
26	 [np] p [vp] 不/d [vp] 
12	 c [advp] 不必/d [vp] 
12	 r [advp] 不以为然/v u [vp] 
21	 r 不少/m [vp] 
12	 不/d a 不/d g 
20	 r m [np] c 不/d a 
17	 p s [np] 不/d [vp] 
17	 c 不/d [vp] p f [vp] 
12	 不论/c [np] m a 
50	 [pp] [np] 不/d [np] f 
48	 c [np] 不得/v [vp] m t 
54	 不予/v [np] u 
235	 m [np] [vp] 不断/d [vp] 
898	 t [np] 不/d [vp] y 
12	 [advp] [vp] 不知/v 
35	 [advp] 不仅仅/d [vp] 
85	 [qp] 不等/v u [np] 
19	 c [advp] r [advp] 不够/a 
6773	 c [np] [advp] 不/d a y 
211	 [np] 不一/v u [np] 
24	 p [vp] 不同/a u [np] 
12	 c t [advp] 不/d a 
12	 不觉/d l 
12	 u [vp] c 不/d [vp] 
12	 [np] [advp] 不菲/a 
23	 g g [advp] 不/d [vp] 
27	 [advp] 不/d [vp] a u g 
12	 [vp] g 不如/v a a 
12	 [advp] [vp] 不息/v 
121	 不过/c [np] [advp] [vp] y 
12	 c r [advp] 不在乎/v 
115	 [np] [advp] [vp] 不衰/v 
12	 [vp] 不久前/t 
54	 [advp] 不用说/v [vp] y 
17	 m [vp] c 不/d [vp] 
41	 [advp] [vp] s 不/d a 
59	 不过/c [vp] [advp] [vp] 
41	 r [advp] 不予/v [vp] 
12	 不育症/n 
20	 r [advp] [vp] 不同/a [np] 
17	 p [vp] f 不久/m 
1679	 [advp] [vp] p 不同/a [np] 
12	 c 不/d [vp] a y 
12	 u 不同/a k 
12	 [np] 不/d [vp] m g 
12	 g f 不/d [vp] 
12	 [qp] [advp] [vp] 不/d [vp] y 
1266	 c r [advp] [vp] 不/d y 
12	 不/d p [advp] [vp] 
12	 [pp] [np] f [vp] 不同/a [np] 
33	 [vp] [advp] 不要/d [vp] 
702	 [np] [advp] [vp] 不可/v [vp] 
78	 u [np] [advp] 不复存在/v 
258	 r 不妨/d [vp] [qp] 
12	 r 不怕/v y 
12	 a a 不/d a 
12	 p r 不要/d [vp] 
17	 [np] 不轨/a 
61	 [np] 不/d r a y 
28	 不得/v g [vp] 
33	 r m [vp] 不要紧/v 
1120	 [advp] 不/d [vp] m t [np] 
12	 r u t 不/d [vp] 
25	 [advp] 不/d [advp] [vp] p r 
12	 s 不再/d a 
33	 [np] [advp] 不/d p [vp] 
12	 [advp] 不衰/v 
18	 [pp] 不同/a [np] 
22	 [advp] 不懈/z u [vp] 
12	 不图/v [np] 
12	 不/d [vp] [qp] 不/d [vp] 
12	 [qp] f 不/d a [qp] u [qp] 
12	 [pp] 不足/a u [np] f 
35	 不/d [vp] p g g 
520	 [np] c 不/d [vp] y 
12	 不/d p r g 
12	 r 不在乎/v r 
40	 [vp] a u 不/d [vp] 
38	 r 不禁/d [vp] m [vp] 
12	 [pp] 不/d [advp] a 
12	 不知/v [vp] 不/d [vp] 
12	 [np] 不/d [vp] a a 
33	 r [advp] 不对/a 
20	 s [advp] [vp] 不少/m [np] 
26	 不再/d [pp] [vp] 
54	 r p f 不/d [vp] 
12	 f c 不/d [vp] 
12	 c [advp] 不/d a u 
36	 不久前/t u m t t 
53	 [np] [advp] 不/d [vp] p [vp] 
24	 [vp] 不禁/d [vp] 
132	 [np] k [advp] 不/d [vp] y 
17	 不仅/c [vp] [pp] [vp] 
54	 [np] [advp] 不可收拾/l 
2414	 r [advp] [vp] [advp] 不/d a u 
18	 [advp] r [advp] 不/d [advp] [vp] 
222	 r 不好意思/v u [vp] y 
12	 不久/m [advp] [pp] [vp] 
21	 [qp] 不含糊/a 
19	 r [qp] [advp] [vp] 不/d y 
72	 r [advp] [vp] 不/d p 
20	 c [advp] r [advp] 不/d [vp] 
12	 p f 不足/v 
229	 [advp] [pp] [vp] 不/d [vp] 
428	 c r 不能不/d [vp] 
113	 [np] [advp] 不再/d [vp] y 
12	 不觉/d a 
28	 r 不住/d u [vp] 
228	 r 不由得/d [vp] m [vp] 
12	 p f [advp] 不/d [vp] 
18	 c r [advp] [vp] 不/d u r 
47	 不可一世/v u [np] 
64	 r [advp] 不/d [vp] g [np] 
12	 r t r 不/d [vp] 
25	 不过/c c [vp] 
12	 r [advp] 不/d [vp] p [vp] [qp] r 
67	 r [advp] [vp] 不好意思/v 
36	 r [advp] 不够/a y 
12	 r 不怕/v r 
12	 s 不禁/d [advp] [vp] 
95	 r 不要/d p [vp] 
12	 [vp] t 不/d g 
20	 r a u u 不/d [vp] 
12	 m [vp] 不/d o 
36	 t r [advp] [vp] 不/d [vp] y 
24	 c [np] r [advp] 不/d [vp] 
11	 [np] [qp] [vp] 不/d [vp] 
11	 不管/c [np] 不/d [vp] 
23	 c p r 不/d [vp] 
11	 不过/c p s 
11	 s [vp] 不/d [vp] g 
35	 不过/c [vp] [advp] a 
231	 g [np] c 不/d [np] 
488	 c r [advp] 不/d [vp] b u [np] 
82	 [np] 不但/c [vp] 
16	 [advp] g 不怕/v [np] [vp] 
42	 [advp] 不用/d [np] 
11	 r 不/d [vp] a [qp] 
147	 r l 不/d [vp] 
17	 r 不准/v [vp] 
11	 g 不如/v g 
211	 不仅/c [pp] [np] f 
11	 不/d g [np] [vp] 
28	 [vp] g 不/d p 
11	 [np] 不便/a u [np] 
11	 [advp] p 不同/a u [np] 
11	 [np] c [vp] 不同/a 
165	 c [pp] [np] 不同/a 
11	 [advp] r 不/d [advp] [vp] 
11	 [np] 不够/a [vp] 
196	 r 不/d [vp] z [np] 
16	 [np] 不足/v [vp] 
27	 [vp] [advp] 不可/v [vp] 
31	 [np] t [advp] 不/d a 
11	 m 不/d g r 
34	 不断/d [vp] [pp] [np] 
11	 [advp] p 不同/a [np] 
34	 c [advp] 不/d [vp] m t 
27	 [vp] [qp] a 不同/a u [np] 
11	 [vp] m [vp] 不久/m 
28	 t [np] 不/d g 
33	 r [advp] [vp] 不可/v [vp] 
30	 r [advp] [vp] 不/d [pp] 
164	 [vp] p 不/d a u t 
11	 不过/c r u 
11	 [np] [advp] 不再/d a 
164	 r g 不/d [vp] g 
40	 [np] 不得人心/v 
11	 t [pp] 不/d a 
11	 c 不宜/v [vp] 
24	 [np] p 不同/a [np] 
26	 不仅/c p s [np] [vp] 
11	 [advp] 不合时宜/l 
20	 不经意/a f 
18	 [vp] g 不绝于耳/v 
222	 [vp] s [vp] s [np] 不可分割/v u m m 
21	 c m [np] 不/d [vp] 
27	 c [advp] 不/d [np] 
23	 [advp] p 不久/m f 
58	 r 不仅/c p s a 
11	 [vp] [advp] p 不断/d [vp] 
16	 不/d [vp] g c [vp] 不/d [advp] 
182	 r 不/d p s [vp] 
39	 [np] 不宜/v [vp] 
18	 [pp] [np] f 不/d [vp] 
151	 r [advp] [vp] 不/d [vp] s u [np] 
17	 [advp] [vp] [pp] [np] 不/d a 
18	 不论是/c [pp] 
28	 f [advp] 不/d [vp] y 
16	 不过/c [pp] u [np] 
11	 f 不/d y 
11	 不断/d [vp] [pp] u [np] 
16	 [vp] [advp] a u 不同/a 
21	 r u [vp] 不/d a 
11	 不过/c p t 
16	 p [vp] [qp] 不/d [vp] 
44	 r 不仅/c [vp] [pp] u [np] 
11	 r [advp] 不在乎/v r 
11	 p r 不同/a u [vp] 
11	 r 不/d g g 
11	 c [np] [vp] [advp] 不/d a 
93	 c t 不/d [vp] y 
16	 [advp] a 不/d [advp] a 
16	 [np] [pp] [np] 不/d a 
36	 [vp] [advp] 不能/v [vp] 
17	 不仅/c [vp] 不/d [vp] 
16	 不足/a [np] [pp] [vp] 
240	 [vp] 不/d [pp] [np] [vp] 
11	 不准/v [vp] p [advp] [vp] 
20	 [vp] 不法分子/n 
38	 [advp] [vp] 不休/v 
20	 t [vp] 不/d u [vp] 
11	 不过/c [vp] l 
114	 c 不久以后/l 
16	 不/d [pp] u [np] [vp] 
37	 [np] g [vp] 不/d a 
49	 [advp] 不致/d [vp] 
55	 [advp] [vp] 不/d g u [np] 
17	 [vp] 不/d [vp] [pp] u [np] 
19	 r [pp] 不同/a 
17	 [np] c 不足/v 
256	 [np] [vp] 不言而喻/v u 
127	 u [np] [advp] [vp] 不/d y 
17	 c [advp] [vp] 不同/a u [np] 
11	 [pp] 不良/a 
21	 t [np] 不景气/a 
16	 [vp] 不够/a u [np] 
37	 r [advp] 不要紧/v 
87	 t [np] [advp] 不/d a y 
11	 c [advp] 不幸/a 
11	 c 不要紧/v 
11	 [np] u 不/d g 
11	 r [advp] 不够/a a 
11	 g 不/d g [vp] 
33	 r [advp] 不/d c [vp] 
72	 [np] [vp] 不够/a u 
47	 r t [np] 不好/a 
17	 r g [np] 不/d [vp] 
186	 r g g 不/d [vp] 
11	 c [np] 不/d [vp] y 
16	 f u 不/d [vp] 
19	 m 不/d [vp] y 
11	 a [advp] 不/d [vp] g 
37	 c [advp] a 不得/v [vp] m t 
11	 [advp] a c 不必/d 
11	 [advp] 不/d [vp] [qp] l u [np] 
18	 不论/c [pp] [vp] 
11	 r c [advp] 不/d a 
11	 r s [np] 不/d a 
11	 不幸/a u [np] [vp] y 
17	 g r 不幸/n 
11	 [pp] 不/d u [np] 
11	 r [advp] 不尽然/v 
66	 [advp] [vp] m [np] 不/d [vp] 
80	 r 不怕/v [vp] y 
11	 c 不必/d [advp] [vp] 
11	 不得/v a 
90	 [advp] [vp] [advp] 不/d [np] 
11	 不对/a u [advp] [vp] 
11	 m [vp] 不行/a m [vp] 
11	 不禁/d z 
42	 [advp] [vp] 不/d u [qp] 
11	 不绝如缕/v 
11	 不/d [advp] a [vp] 
11	 g 不/d [vp] g g 
22	 [np] [advp] 不/d [vp] b u 
20	 [np] 不/d [vp] g [vp] 
60	 [vp] 不/d u m t [np] 
22	 p r 不/d [vp] g 
18	 [np] f u [np] 不/d a 
257	 c r s [advp] 不/d a 
17	 p 不/d p [vp] 
35	 [advp] [vp] 不/d [advp] a u 
56	 [np] 不准/v [vp] f 
25	 [np] c 不幸/n 
76	 c r [advp] 不然/v 
93	 [advp] [vp] [pp] 不/d [vp] 
180	 c [np] r 不/d a 
11	 [np] 不怕/v [np] 
11	 [vp] 不过/c m t 
11	 [advp] 不足/v [vp] 
166	 r [advp] 不怕/v [vp] 
19	 [advp] [vp] [advp] 不行/a 
26	 c [advp] 不/d [vp] s [np] 
44	 r [advp] 不知/v [np] 
49	 r [qp] [advp] 不/d [vp] a 
11	 c [vp] 不/d [vp] [qp] 
398	 r [advp] [vp] 不到/v [np] 
11	 b 不能/v [advp] 
24	 r [advp] f 不/d u [np] 
48	 [vp] [advp] 不/d [vp] g 
31	 不久/m [np] [vp] y 
120	 r [advp] 不像话/a y 
73	 [np] r [advp] [vp] 不/d [vp] y 
35	 c [vp] 不/d [vp] g 
17	 r [advp] 不好/a y 
119	 [advp] 不见/v [np] [vp] 
11	 不容/v t [vp] 
22	 [vp] y 不/d [vp] 
11	 不管/c r y 
19	 [np] r 不/d [advp] [vp] 
142	 r 不/d [vp] [advp] 不行/a 
11	 t [vp] 不足/v 
97	 r 不动声色/v u [vp] 
11	 不/d g p g 
37	 t 不/d p t 
11	 不/d a t 
26	 [vp] 不在乎/v 
11	 不/d [vp] m 不得已/a 
274	 c r b [vp] 不可/v 
92	 a u 不能/v [advp] a y 
231	 不一会/l [np] 
38	 r [advp] 不/d [vp] p r [advp] [vp] 
11	 c [advp] 不/d p 
11	 r 不等/v [vp] 
11	 不过/c g 
21	 r c 不/d [vp] y 
455	 [advp] [vp] 不/d p [vp] 
11	 r 不见/v y 
22	 r 不/d [vp] [pp] y 
11	 r 不要脸/a 
18	 r [advp] 不管/c r 
10	 [np] u 不得了/l 
10	 t [vp] [advp] [vp] 不/d [vp] 
328	 m [np] 不/d [vp] m [np] 
89	 [np] [advp] 不/d [vp] [advp] a u 
10	 g [np] c 不/d [vp] 
15	 r [advp] 不动声色/v 
10	 [np] [pp] 不同/a 
46	 [advp] [vp] 不可思议/l u [vp] 
433	 r [advp] [vp] 不够/a u 
17	 c s [np] 不/d a 
27	 [np] 不/d [vp] t u [np] 
10	 [advp] 不欢而散/l 
41	 不/d [vp] m t [advp] [vp] y 
15	 c 不/d [vp] t [np] 
23	 不少/m [np] [advp] a 
19	 不人道/a c [vp] g [np] c [vp] 
10	 [vp] a u [advp] 不行/a 
10	 不管/c [vp] [qp] 
39	 c 不/d [vp] p s [vp] 
17	 [np] [vp] 不当/a 
749	 c [np] [vp] 不久/m 
10	 [np] p [qp] [vp] [qp] 不等/v 
16	 [np] c [advp] 不/d [vp] 
78	 m [np] 不同/a [np] [vp] 
15	 [vp] 不得人心/v u 
17	 [np] [advp] 不予/v [vp] 
10	 t [np] [advp] 不/d [vp] y 
65	 [advp] [vp] 不/d [vp] s [np] 
10	 [advp] a 不/d [vp] m [np] 
23	 a s [vp] f 不久/m 
10	 m 不/d [vp] l 
165	 c m [np] [advp] 不/d [vp] 
10	 不知/v [vp] m [vp] 
98	 c t 不同/a y 
10	 c a [advp] 不/d a 
10	 c [np] [advp] 不/d [vp] [advp] [vp] 
10	 [vp] 不/d a u l 
62	 c 不要/d [vp] y 
23	 c 不/d [advp] [vp] m [np] 
39	 [advp] 不用说/v [np] y 
68	 r l [vp] 不/d [vp] 
10	 不得/v [vp] g 
23	 [vp] [advp] 不/d [vp] [advp] a 
10	 c [np] 不一/v 
16	 [np] f u [np] [advp] 不/d a 
48	 r m [advp] 不/d [vp] 
417	 c r p r [advp] 不/d [vp] 
10	 [vp] g g 不/d [vp] 
10	 [np] a 不已/v 
411	 t [np] 不/d a y 
10	 t [vp] 不久/m 
22	 c [np] 不/d [np] 
10	 [advp] p g a c 不/d [vp] 
77	 c [advp] 不够/a a 
218	 c s [np] [advp] 不/d [vp] 
121	 s b g b 不/d [vp] 
17	 [pp] [np] [vp] 不/d a 
10	 [np] 不见/v [np] 
41	 r [advp] 不惜/v [np] 
113	 c [vp] 不少/m [np] [vp] 
61	 不过/c t [vp] 
722	 c [np] [advp] 不断/d [vp] 
64	 [advp] 不时/d u [vp] 
10	 c r g 不/d [vp] 
104	 [np] 不要/d [vp] s [vp] 
15	 [np] [vp] 不/d p 
32	 [np] 不得/v [vp] m [np] 
10	 [np] [advp] 不堪重负/v 
83	 c [np] [vp] 不/d a u 
10	 g p 不/d g f 
15	 [vp] f 不/d a 
39	 r 不仅/c [vp] f u [np] 
114	 [advp] 不断/d [vp] c [vp] 
10	 [np] 不/d [vp] g g 
26	 不容/v [np] [vp] 
42	 不断/d [vp] [advp] [vp] 
17	 [np] f 不/d [vp] a 
10	 [vp] 不绝于耳/v 
35	 r [advp] 不/d [vp] s [vp] 
41	 r [advp] [pp] 不/d [vp] 
28	 不动产/n [np] 
280	 [np] 不断/d [vp] c [np] 
48	 s [advp] 不甘落后/v 
10	 [np] 不宜/v u a 
10	 不朽/z y 
23	 [np] 不/d [np] [vp] 
10	 [np] [vp] [pp] 不/d a 
10	 [np] 不要/d [advp] [vp] 
33	 [np] g [advp] 不/d a 
29	 不/d [advp] p r 
127	 c r c 不/d a 
44	 不/d [advp] [pp] [vp] 
10	 a c 不/d [advp] 
10	 [vp] 不乏/v [np] 
20	 b 不/d b 
15	 p [advp] 不/d [vp] 
10	 不/d [vp] [advp] 不/d a 
10	 不/d [vp] a c a 
95	 [advp] [vp] 不可磨灭/v u [np] 
10	 c 不/d a g 
45	 c [np] [advp] 不然/v 
40	 [vp] g r 不/d [vp] 
10	 不/d [pp] u [vp] 
10	 [np] 不要/d [advp] a 
10	 p g 不/d a 
101	 r [pp] [advp] 不/d a 
10	 [qp] [advp] 不要/d [vp] 
10	 r 不/d [vp] [advp] u [vp] 
15	 [vp] [qp] 不/d a u 
15	 c 不至于/d [vp] 
16	 不/d [vp] 不行/a u 
117	 [np] 不/d a [vp] [advp] [vp] 
10	 不要/d a 不/d [vp] 
21	 c 不/d [vp] k 
30	 [advp] [vp] 不/d [vp] g [np] 
90	 [advp] 不可/v [np] 
15	 [vp] c 不/d [vp] y 
137	 c r 不/d [vp] b u [np] 
10	 不可/v g g 
16	 m [vp] 不好/a u 
10	 [pp] 不/d [vp] [advp] [vp] 
15	 [vp] 不敢当/v 
10	 不知/v r f 
94	 [vp] 不/d [vp] l u [np] 
10	 [np] [vp] 不通/a 
22	 不要/d g [vp] 
10	 [np] g g 不/d [vp] 
10	 [advp] 不足/v k 
15	 [advp] [np] 不/d g 
10	 g g [np] 不/d a 
10	 [vp] a [advp] 不/d a 
33	 [np] u [vp] 不/d [vp] 
10	 g g 不觉/d g 
227	 [vp] f 不/d [vp] y 
61	 r 不/d [vp] [pp] [np] [vp] 
36	 r 不辞劳苦/v 
27	 r [advp] a 不已/v 
493	 r [advp] 不/d [vp] m [np] 
59	 m [np] [advp] [vp] 不/d [vp] y 
16	 [np] 不得/v [np] 
16	 [np] 不动声色/v 
10	 不劳而获/v 
10	 c 不无/v [np] 
10	 [vp] 不/d [np] m 
10	 m u 不/d [vp] 
10	 r 不同/a y 
10	 m t [np] 不/d [vp] 
27	 [vp] 不仅仅/d [vp] 
10	 不管/c [vp] l 
10	 r [advp] a 不堪/v 
105	 r [advp] [vp] 不断/d u [vp] 
15	 不禁/d [np] [vp] 
10	 c [advp] [vp] 不足/v 
172	 c [np] [vp] 不好/a 
31	 [np] [vp] t [np] c 不/d a 
44	 r 不辞辛劳/v 
16	 [qp] 不法分子/n [vp] 
17	 [vp] 不惜/v [np] 
60	 不/d [np] [advp] [vp] m 
616	 r [advp] [vp] 不行/a u 
10	 不禁/d g p f [vp] 
10	 s [np] 不/d [vp] a 
10	 b [advp] [vp] 不可/v 
10	 m [np] [advp] 不/d [vp] y 
32	 [advp] [vp] 不义之财/l 
30	 c [advp] 不/d [vp] [pp] [vp] 
73	 [advp] [vp] [advp] a 不过/u y 
68	 c 不久/m r [advp] [vp] y 
21	 [np] 不解/v [np] 
10	 [np] 不通/a [vp] 
20	 不免/d [advp] [vp] 
95	 [advp] [vp] [qp] 不可/v [vp] 
42	 r [advp] [qp] 不/d [vp] 
10	 [np] 不无/v [vp] 
95	 [advp] [vp] 不可避免/v u 
16	 [np] [vp] 不断/d u [vp] 
73	 [advp] [vp] [advp] 不/d [advp] [vp] 
17	 [advp] [vp] c [vp] f u 不正之风/l 
30	 [np] [vp] 不到/v [np] 
10	 r m 不要/d [vp] 
10	 [np] 不拘一格/v 
10	 [np] [advp] [vp] 不够/a 
10	 t 不可/v [vp] 
10	 m [vp] 不得/v 
18	 r [advp] 不/d [vp] x 
